 INFO  Accepting connections at http://localhost:3000
 HTTP  3/11/2026 5:15:58 PM ::1 GET /
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 200 in 319 ms
 HTTP  3/11/2026 5:15:58 PM ::1 GET /styles.css
 HTTP  3/11/2026 5:15:58 PM ::1 GET /app.js
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 200 in 4 ms
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 200 in 3 ms
 HTTP  3/11/2026 5:15:58 PM ::1 GET /sw.js
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 200 in 2 ms
 HTTP  3/11/2026 5:15:58 PM ::1 GET /index.html
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 301 in 1 ms
 HTTP  3/11/2026 5:15:58 PM ::1 GET /
 HTTP  3/11/2026 5:15:58 PM ::1 GET /styles.css
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 304 in 1 ms
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 304 in 2 ms
 HTTP  3/11/2026 5:15:58 PM ::1 GET /index
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 301 in 2 ms
 HTTP  3/11/2026 5:15:58 PM ::1 GET /app.js
 HTTP  3/11/2026 5:15:58 PM ::1 GET /
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 304 in 2 ms
 HTTP  3/11/2026 5:15:58 PM ::1 Returned 304 in 2 ms
 HTTP  3/11/2026 5:17:29 PM ::1 GET /
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 200 in 3 ms
 HTTP  3/11/2026 5:17:29 PM ::1 GET /styles.css
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 200 in 4 ms
 HTTP  3/11/2026 5:17:29 PM ::1 GET /app.js
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 200 in 5 ms
 HTTP  3/11/2026 5:17:29 PM ::1 GET /sw.js
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 200 in 1 ms
 HTTP  3/11/2026 5:17:29 PM ::1 GET /
 HTTP  3/11/2026 5:17:29 PM ::1 GET /index.html
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 301 in 0 ms
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 304 in 2 ms
 HTTP  3/11/2026 5:17:29 PM ::1 GET /styles.css
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 304 in 1 ms
 HTTP  3/11/2026 5:17:29 PM ::1 GET /index
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 301 in 0 ms
 HTTP  3/11/2026 5:17:29 PM ::1 GET /app.js
 HTTP  3/11/2026 5:17:29 PM ::1 GET /
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 304 in 1 ms
 HTTP  3/11/2026 5:17:29 PM ::1 Returned 304 in 1 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 200 in 3 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /styles.css
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 200 in 5 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /app.js
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 200 in 3 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /sw.js
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 200 in 3 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 304 in 1 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /index.html
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 301 in 0 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /styles.css
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 304 in 1 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /index
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 301 in 1 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /app.js
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 304 in 2 ms
 HTTP  3/11/2026 5:17:34 PM ::1 GET /
 HTTP  3/11/2026 5:17:34 PM ::1 Returned 304 in 1 ms
